Year,African_tourists,Caribbean_Central_&_South_American tourists,Central Eastern Europe ,MiddleEastern_tourists,North_American_tourists ,NorthEast_Asian_tourists,Nothern_Europe_tourists,Ocenian_tourists,South_Asian_tourists ,South_East_Asian_Tourists ,Southern_Europe_Tourists,Western_Europen_Tourists,Pleasure_Tourists,Private_Official_business,Conferences_Meetings,Visiting_friends_relatives,Religious_cultural,Other_reasons,Residence_Latin America_Carribean_&_South_America,Residence_ Eastern Europe ,Residence_Middle East ,Residence_North America,Residence_Asia,Residence_Ocenians,Residence_Western_Europe,Hotels_Restaurants,"Travel Agents, Tour
operators",Airlines,"Agencies providing
recreational facilities",Tourist shops,Guides,"National tourist
oraganisation",Public Institutions
2020,2896,1892,100045,10190,29422,37893,71879,23813,110373,14704,22195,82402,"448,324 1","13,946","5,750","38,658",53,973,"2,216","100,766","10,231","29,627","158,448","22,706","180,830",-,-,-,-,-,-,-,
2021,878,381,38585,4569,11283,3196,21631,4729,72365,3659,6523,26656,"151,803","4,641","1,006","32,336",22,"4,687",478,"38,129","4,452","11,281","79,159","4,767","55,367","143,247","11,979","8,500","1,172","2,408","6,040",870,"3,260"
2022,4679,1238,159062,18107,50191,10061,108264,33876,157505,12095,36621,128279,"428,838","30,197","15,888","164,109",299,"80,647","2,020","159,062","18,107","49,409","179,661","33,876","273,164","153,080","12,964","9,542","1,250","2,602","6,677",928,"3,478"
